City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Cape Town,ZA,2024-01-09 14:37:12,-33.9258,18.4232,79.21,72,20,20.71
1,Abomey-Calavi,BJ,2024-01-09 14:37:59,6.4485,2.3557,89.46,66,20,9.22
2,Bluff,NZ,2024-01-09 14:37:59,-46.6,168.3333,52.81,85,100,12.59
3,Mataura,NZ,2024-01-09 14:37:59,-46.1927,168.8643,52.48,91,100,5.5
4,Hilo,US,2024-01-09 14:37:59,19.7297,-155.09,74.93,84,0,12.66
5,Hohhot,CN,2024-01-09 14:37:59,40.8106,111.6522,1.69,85,0,4.47
6,Pangnirtung,CA,2024-01-09 14:37:59,66.1451,-65.7125,-11.2,77,75,4.61
7,Nanortalik,GL,2024-01-09 14:37:59,60.1432,-45.2371,34.63,97,94,9.64
8,Luxor,EG,2024-01-09 14:37:59,25.6989,32.6421,76.59,18,100,11.21
9,San Carlos De Bariloche,AR,2024-01-09 14:38:00,-41.1456,-71.3082,55.15,44,20,23.02
10,Rikitea,PF,2024-01-09 14:38:00,-23.1203,-134.9692,77.47,82,100,6.08
11,Champerico,GT,2024-01-09 14:38:00,14.3,-91.9167,75.74,62,3,5.97
12,Bredasdorp,ZA,2024-01-09 14:38:00,-34.5322,20.0403,70.72,69,100,15.88
13,Souillac,MU,2024-01-09 14:38:00,-20.5167,57.5167,84.58,70,40,3.44
14,New Norfolk,AU,2024-01-09 14:38:00,-42.7826,147.0587,58.5,89,100,1.86
15,Longyearbyen,SJ,2024-01-09 14:38:00,78.2186,15.6401,6.64,72,92,16.11
16,Hermanus,ZA,2024-01-09 14:38:00,-34.4187,19.2345,70.74,72,100,20.49
17,Tiksi,RU,2024-01-09 14:38:00,71.6872,128.8694,-26.82,98,100,13.67
18,Kudahuvadhoo,MV,2024-01-09 14:38:01,2.6708,72.8944,82.18,80,42,16.35
19,Kutum,SD,2024-01-09 14:38:01,14.2,24.6667,79.7,11,11,4.14
20,Lagoa,PT,2024-01-09 14:38:01,39.05,-27.9833,62.15,82,100,35.63
21,Jumla,NP,2024-01-09 14:38:01,29.2747,82.1838,35.73,39,0,4.97
22,Puerto Ayora,EC,2024-01-09 14:38:01,-0.7393,-90.3518,80.56,95,62,5.99
23,Ardabil,IR,2024-01-09 14:38:01,38.2498,48.2933,49.55,37,0,13.8
24,Saint-Georges,GD,2024-01-09 14:34:52,12.0564,-61.7485,85.68,74,20,16.11
25,Paita,PE,2024-01-09 14:38:01,-5.0892,-81.1144,77.41,66,19,11.07
26,Flin Flon,CA,2024-01-09 14:38:01,54.7682,-101.865,-4.16,77,100,3.44
27,Torbay,CA,2024-01-09 14:38:02,47.6666,-52.7314,24.39,80,75,19.57
28,Victoria,HK,2024-01-09 14:38:02,22.2855,114.1577,71.65,84,61,4.0
29,Cherskiy,RU,2024-01-09 14:38:02,68.75,161.3,-21.23,98,100,6.76
30,Chokurdakh,RU,2024-01-09 14:38:02,70.6333,147.9167,-34.49,97,93,8.1
31,Cabo San Lucas,MX,2024-01-09 14:38:00,22.8909,-109.9124,60.62,63,98,1.59
32,Vaini,TO,2024-01-09 14:38:02,-21.2,-175.2,77.16,100,20,6.91
33,Kavieng,PG,2024-01-09 14:38:02,-2.5744,150.7967,82.04,79,73,6.49
34,Mana,GF,2024-01-09 14:38:02,5.6592,-53.7767,83.43,72,99,11.05
35,Ribeira Grande,PT,2024-01-09 14:38:02,38.5167,-28.7,64.8,82,75,28.01
36,Ushuaia,AR,2024-01-09 14:34:22,-54.8,-68.3,44.22,75,75,27.63
37,Iberia,US,2024-01-09 14:38:02,29.9502,-91.7507,46.4,57,0,19.57
38,Busselton,AU,2024-01-09 14:38:02,-33.65,115.3333,59.45,75,0,15.59
39,Patos De Minas,BR,2024-01-09 14:38:03,-18.5789,-46.5181,70.23,89,100,5.37
40,Hegra,NO,2024-01-09 14:38:03,63.4644,11.114,39.83,93,75,18.41
41,Vila Velha,BR,2024-01-09 14:38:03,-20.3297,-40.2925,91.35,68,40,10.36
42,Upernavik,GL,2024-01-09 14:38:03,72.7868,-56.1549,-15.9,93,94,7.11
43,Zavyalovo,RU,2024-01-09 14:38:03,54.5053,82.4484,-4.88,91,96,16.8
44,Opelousas,US,2024-01-09 14:38:03,30.5335,-92.0815,45.88,63,0,16.11
45,Hobart,AU,2024-01-09 14:33:51,-42.8794,147.3294,58.86,86,100,5.75
46,Cortez,US,2024-01-09 14:39:03,37.3489,-108.5859,11.03,78,0,8.05
47,Punta Arenas,CL,2024-01-09 14:39:03,-53.15,-70.9167,44.71,61,75,28.77
48,Butaritari,KI,2024-01-09 14:39:03,3.0707,172.7902,82.45,79,68,14.14
49,Bonthe,SL,2024-01-09 14:39:03,7.5264,-12.505,87.91,60,89,12.64
50,Lexington,US,2024-01-09 14:36:05,37.9887,-84.4777,50.34,89,100,10.36
51,Gilgit,PK,2024-01-09 14:39:04,35.9221,74.3087,39.0,45,0,1.97
52,Mar Del Plata,AR,2024-01-09 14:39:04,-38.0023,-57.5575,80.53,64,0,14.0
53,Oranjestad,AW,2024-01-09 14:39:04,12.524,-70.027,83.91,80,75,18.41
54,Chickasha,US,2024-01-09 14:39:04,35.0526,-97.9364,30.36,69,100,18.41
55,Dikson,RU,2024-01-09 14:39:04,73.5069,80.5464,-7.29,98,100,10.0
56,Lompoc,US,2024-01-09 14:39:04,34.6391,-120.4579,47.93,63,0,7.0
57,Palora,EC,2024-01-09 14:39:04,-1.7,-77.9333,71.71,97,100,1.25
58,Port Alfred,ZA,2024-01-09 14:39:04,-33.5906,26.891,75.18,84,77,7.0
59,Atuona,PF,2024-01-09 14:39:04,-9.8,-139.0333,80.38,69,10,17.56
60,Wakkanai,JP,2024-01-09 14:39:04,45.4094,141.6739,21.09,86,100,5.01
61,Geraldton,AU,2024-01-09 14:39:04,-28.7667,114.6,70.21,83,40,17.27
62,Ponta Do Sol,PT,2024-01-09 14:39:04,32.6667,-17.1,70.12,82,56,3.96
63,Bambous Virieux,MU,2024-01-09 14:39:05,-20.3428,57.7575,84.45,70,40,3.44
64,Kapaa,US,2024-01-09 14:39:05,22.0752,-159.319,70.12,81,40,5.75
65,Vardo,NO,2024-01-09 14:39:05,70.3705,31.1107,21.18,79,0,5.75
