,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Lazaro Cardenas,MX,72.07,clear sky,17.9583,-102.2,Hotel Sol del Pacífico
1,Sao Gabriel Da Cachoeira,BR,74.1,broken clouds,-0.1303,-67.0892,Hotel Deus Me Deu
3,Rikitea,PF,76.41,overcast clouds,-23.1203,-134.9692,Chez Bianca & Benoit
20,Vao,NC,78.49,overcast clouds,-22.6667,167.4833,Nataiwatch
27,Touros,BR,82.83,scattered clouds,-5.1989,-35.4608,Pousada Atlântico
30,Cidreira,BR,72.57,scattered clouds,-30.1811,-50.2056,Hotel Castelo
35,Hithadhoo,MV,83.23,broken clouds,-0.6,73.0833,Pebbles Inn
39,Pangkalanbuun,ID,80.91,overcast clouds,-2.6833,111.6167,Hotel Tiara
41,Sao Felix Do Xingu,BR,73.29,overcast clouds,-6.6447,-51.995,Hotel Terraço
42,Puerto Ayora,EC,77.56,broken clouds,-0.7393,-90.3518,Hostal La Mirada De Solitario George
43,Busselton,AU,72.82,clear sky,-33.65,115.3333,Ithaca
46,Bengkulu,ID,84.92,overcast clouds,-3.8004,102.2655,Dena Hotel
51,Tamandare,BR,81.45,scattered clouds,-8.7597,-35.1047,Pousada Baia dos Corais
57,Avarua,CK,77.05,broken clouds,-21.2078,-159.775,Paradise Inn
61,Salalah,OM,80.69,few clouds,17.0151,54.0924,Muscat International Hotel
65,Hermanus,ZA,83.8,clear sky,-34.4187,19.2345,Aloe guest house
71,Sulangan,PH,81.14,clear sky,11.1373,123.7228,Marion's Inn
72,Acajutla,SV,78.1,clear sky,13.5928,-89.8275,Hotel Lara
76,Bredasdorp,ZA,77.79,clear sky,-34.5322,20.0403,Victoria Hotel
78,Port Elizabeth,ZA,85.1,clear sky,-33.918,25.5701,Waterford Hotel
80,Cockburn Town,TC,76.87,clear sky,21.4612,-71.1419,The Salt Raker Inn
83,Omboue,GA,85.32,broken clouds,-1.5746,9.2618,Hôtel Georges Faustin Aurat
84,Rio Grande,BR,72.21,scattered clouds,-32.035,-52.0986,Hotel Vila Moura Executivo
86,Mackay,AU,83.68,overcast clouds,-21.15,149.2,Mackay Oceanside Central Apartment Hotel
87,Quatre Cocos,MU,82.09,overcast clouds,-20.2078,57.7625,Horisun
90,Vaini,TO,78.96,broken clouds,-21.2,-175.2,Keleti International Resort
96,Richards Bay,ZA,75.6,overcast clouds,-28.783,32.0377,SUN1 Richards Bay
103,Atuona,PF,80.44,scattered clouds,-9.8,-139.0333,Pearl Resort
112,Pemba,MZ,80.83,moderate rain,-12.974,40.5178,Hotel Rafael
116,Antsohihy,MG,74.39,heavy intensity rain,-14.8796,47.9875,Escale
