City_ID,City,Country,Date,Lat,Lng,Max Temp,Min Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Porto Seguro,BR,2023-04-22 13:56:14,-16.4497,-39.0647,73.92,73.92,100,100,5.75,mist
1,Abalak,RU,2023-04-22 13:56:14,58.1286,68.5944,49.69,49.69,61,100,5.03,overcast clouds
2,Kandrian,PG,2023-04-22 13:56:14,-6.2167,149.55,79.5,79.5,82,91,4.99,overcast clouds
3,Saint George,US,2023-04-22 13:51:25,37.1041,-113.5841,59.25,55.44,50,0,5.75,clear sky
4,Atuona,PF,2023-04-22 13:55:02,-9.8,-139.0333,80.83,80.83,80,55,14.05,light rain
5,Ust-Nera,RU,2023-04-22 13:56:15,64.5667,143.2,19.72,19.72,94,100,3.2,overcast clouds
6,Punta Arenas,CL,2023-04-22 13:50:40,-53.15,-70.9167,44.71,44.11,61,0,17.27,clear sky
7,Nabire,ID,2023-04-22 13:56:15,-3.3667,135.4833,77.22,77.22,89,100,1.74,overcast clouds
8,Albany,US,2023-04-22 13:50:45,42.6001,-73.9662,59.63,51.26,74,100,3.0,overcast clouds
9,Aykhal,RU,2023-04-22 13:56:15,66.0,111.5,17.38,17.38,91,100,9.28,overcast clouds
10,Kodiak,US,2023-04-22 13:56:15,57.79,-152.4072,42.31,42.31,45,0,10.36,clear sky
11,Arraial Do Cabo,BR,2023-04-22 13:56:15,-22.9661,-42.0278,80.46,78.76,57,40,13.8,scattered clouds
12,Busselton,AU,2023-04-22 13:55:00,-33.65,115.3333,61.47,61.47,55,0,6.42,clear sky
13,Port Alfred,ZA,2023-04-22 13:56:16,-33.5906,26.891,68.18,68.18,53,100,3.0,overcast clouds
14,Jijiga,ET,2023-04-22 13:56:16,9.35,42.8,73.35,73.35,58,79,10.83,light rain
15,Abha,SA,2023-04-22 13:56:16,18.2164,42.5053,73.22,70.05,49,40,14.97,thunderstorm
16,Qaanaaq,GL,2023-04-22 13:56:16,77.484,-69.3632,18.97,18.97,82,100,4.81,overcast clouds
17,Provideniya,RU,2023-04-22 13:56:16,64.3833,-173.3,17.56,17.56,79,9,5.08,clear sky
18,Mataura,NZ,2023-04-22 13:54:59,-46.1927,168.8643,52.48,52.48,88,100,2.8,overcast clouds
19,Mahebourg,MU,2023-04-22 13:56:16,-20.4081,57.7,82.69,80.26,74,40,5.75,scattered clouds
20,Pinsk,BY,2023-04-22 13:56:16,52.1229,26.0951,60.19,60.19,48,95,1.57,overcast clouds
21,Suntar,RU,2023-04-22 13:56:16,62.1444,117.6319,14.67,14.67,94,19,1.95,few clouds
22,Saskylakh,RU,2023-04-22 13:55:03,71.9167,114.0833,5.16,5.16,98,93,5.7,overcast clouds
23,Lagoa,PT,2023-04-22 13:56:17,39.05,-27.9833,61.7,61.7,87,28,13.02,scattered clouds
24,Nuuk,GL,2023-04-22 13:56:17,64.1835,-51.7216,32.61,31.87,100,75,9.22,fog
25,Talnakh,RU,2023-04-22 13:56:17,69.4865,88.3972,34.21,34.21,93,100,18.37,light snow
26,Nemuro,JP,2023-04-22 13:56:17,43.3236,145.575,36.7,36.7,80,9,16.04,clear sky
27,Bluff,NZ,2023-04-22 13:56:17,-46.6,168.3333,52.81,52.81,72,71,20.31,broken clouds
28,Cape Town,ZA,2023-04-22 13:51:21,-33.9258,18.4232,58.37,54.01,83,100,27.63,drizzle rain
29,Zaraza,VE,2023-04-22 13:56:18,9.3503,-65.3245,84.76,84.76,60,100,5.5,overcast clouds
30,Shumskiy,RU,2023-04-22 13:56:18,54.8318,99.1328,32.31,32.31,83,61,6.46,broken clouds
31,Saint Anthony,US,2023-04-22 13:56:18,45.0205,-93.218,32.95,29.71,87,100,17.27,mist
32,Kapaa,US,2023-04-22 13:56:18,22.0752,-159.319,72.1,69.19,93,75,4.61,broken clouds
33,Carlisle,US,2023-04-22 13:51:41,40.2015,-77.1889,69.01,62.91,64,100,3.0,overcast clouds
34,Klaksvik,FO,2023-04-22 13:56:18,62.2266,-6.589,45.52,45.52,75,100,30.98,overcast clouds
35,Sangar,RU,2023-04-22 13:56:18,63.9242,127.4739,13.98,13.98,95,14,3.36,few clouds
36,Port Blair,IN,2023-04-22 13:56:18,11.6667,92.75,83.97,83.97,69,0,5.46,clear sky
37,Pevek,RU,2023-04-22 13:56:18,69.7008,170.3133,11.79,11.79,85,18,3.49,few clouds
38,Fukue,JP,2023-04-22 13:56:18,32.6881,128.8419,58.98,58.98,66,57,28.16,broken clouds
39,Chokurdakh,RU,2023-04-22 13:54:59,70.6333,147.9167,6.64,6.64,100,77,2.15,broken clouds
40,Yerofey Pavlovich,RU,2023-04-22 13:56:19,53.9667,121.9667,22.95,22.95,81,100,4.29,overcast clouds
41,Jamestown,US,2023-04-22 13:55:11,42.097,-79.2353,59.02,48.72,94,40,10.36,scattered clouds
42,Uvinza,TZ,2023-04-22 13:56:19,-5.1036,30.3911,74.66,74.66,90,100,3.76,moderate rain
43,Santa Rosa,PH,2023-04-22 13:55:04,14.3122,121.1114,86.11,85.01,74,34,8.48,scattered clouds
44,Puerto Ayora,EC,2023-04-22 13:56:19,-0.7393,-90.3518,77.56,77.56,96,66,8.99,light rain
45,Lorengau,PG,2023-04-22 13:56:19,-2.0226,147.2712,81.75,81.75,78,98,5.41,overcast clouds
46,Naze,JP,2023-04-22 13:56:19,28.3667,129.4833,68.92,68.92,74,100,20.24,overcast clouds
47,Codrington,AU,2023-04-22 13:56:20,-38.2667,141.9667,57.09,57.09,90,43,1.32,scattered clouds
48,Haldensleben,DE,2023-04-22 13:56:20,52.2891,11.4098,74.52,68.7,52,81,11.88,broken clouds
49,Choma,ZM,2023-04-22 13:57:20,-16.8065,26.9531,81.14,81.14,38,100,10.25,overcast clouds
50,Chirongui,YT,2023-04-22 13:57:20,-12.9319,45.1483,85.93,85.93,71,100,3.58,overcast clouds
51,Chuy,UY,2023-04-22 13:51:36,-33.6971,-53.4616,70.47,70.47,53,100,2.59,overcast clouds
52,Rio Grande,BR,2023-04-22 13:57:20,-32.035,-52.0986,69.91,69.91,65,100,3.11,overcast clouds
53,Hilo,US,2023-04-22 13:54:28,19.7297,-155.09,71.62,66.94,91,75,3.0,broken clouds
54,Ternate,ID,2023-04-22 13:57:20,0.8,127.4,81.72,81.72,77,77,2.95,broken clouds
55,Auch,FR,2023-04-22 13:57:20,43.65,0.5833,58.87,53.46,69,100,1.99,moderate rain
56,Nouadhibou,MR,2023-04-22 13:57:21,20.931,-17.0347,76.98,76.98,53,0,13.8,clear sky
57,Taoudenni,ML,2023-04-22 13:57:21,22.6783,-3.9836,97.03,97.03,6,53,13.53,broken clouds
58,Saint-Pierre,RE,2023-04-22 13:57:21,-21.3393,55.4781,82.08,76.19,74,75,8.05,broken clouds
59,Butaritari,KI,2023-04-22 13:57:21,3.0707,172.7902,81.95,81.95,77,100,8.57,moderate rain
60,Mae Sai,TH,2023-04-22 13:57:22,20.4335,99.8762,76.1,76.1,66,95,2.84,light rain
61,Port Elizabeth,ZA,2023-04-22 13:57:22,-33.918,25.5701,68.29,65.32,51,0,9.22,clear sky
62,Jurm,AF,2023-04-22 13:57:22,36.8648,70.8342,56.98,56.98,32,0,5.35,clear sky
63,Tiksi,RU,2023-04-22 13:55:02,71.6872,128.8694,1.49,1.49,97,26,5.46,scattered clouds
64,Vaini,TO,2023-04-22 13:55:00,-21.2,-175.2,71.76,71.76,88,40,5.75,light intensity drizzle
65,Tasiilaq,GL,2023-04-22 13:57:22,65.6145,-37.6368,29.61,29.61,73,32,4.03,scattered clouds
66,Makakilo City,US,2023-04-22 13:57:23,21.3469,-158.0858,73.72,69.55,85,0,4.61,clear sky
67,Lebu,CL,2023-04-22 13:57:23,-37.6167,-73.65,56.34,56.34,82,4,14.12,clear sky
68,Cornwall,CA,2023-04-22 13:57:23,45.0181,-74.7281,65.98,51.91,71,0,6.91,clear sky
69,Yellowknife,CA,2023-04-22 13:54:30,62.456,-114.3525,36.12,35.56,64,75,8.05,broken clouds
70,Cherskiy,RU,2023-04-22 13:57:23,68.75,161.3,16.07,16.07,97,55,2.91,broken clouds
71,Upernavik,GL,2023-04-22 13:56:23,72.7868,-56.1549,30.04,30.04,97,100,15.37,snow
72,Guerrero Negro,MX,2023-04-22 13:57:23,27.9769,-114.0611,59.22,59.22,81,0,8.52,clear sky
73,New Norfolk,AU,2023-04-22 13:57:23,-42.7826,147.0587,60.93,55.9,70,100,8.99,overcast clouds
74,Rikitea,PF,2023-04-22 13:55:00,-23.1203,-134.9692,78.94,78.94,89,98,19.33,overcast clouds
